region_id,name,kind,type,year,quarter,download_mbps,upload_mbps,latency_ms,tile_median_download_mbps,tests,devices,tiles
D-balakan,Balakan,district,fixed,2019,3,3.327,2.173,72.09,2.286,189.0,86.0,56
D-barda,Barda,district,fixed,2019,3,5.012,4.727,43.36,2.696,443.0,147.0,94
D-beylagan,Beylagan,district,fixed,2019,3,5.919,2.669,58.29,2.064,132.0,55.0,43
D-bilasuvar,Bilasuvar,district,fixed,2019,3,2.813,1.086,54.63,2.768,156.0,65.0,49
D-dashkasan,Dashkasan,district,fixed,2019,3,8.006,11.315,42.72,6.152,250.0,32.0,9
D-fuzuli,Fuzuli,district,fixed,2019,3,3.451,1.645,44.34,3.176,44.0,23.0,23
D-gadabay,Gadabay,district,fixed,2019,3,1.936,0.775,111.05,1.35,200.0,76.0,60
D-gobustan,Gobustan,district,fixed,2019,3,2.849,0.759,58.28,2.467,43.0,18.0,16
D-goranboy,Goranboy,district,fixed,2019,3,4.936,13.339,56.57,1.426,196.0,96.0,56
D-goychay,Goychay,district,fixed,2019,3,3.734,3.254,70.21,2.064,259.0,93.0,62
D-goygol,Goygol,district,fixed,2019,3,3.717,2.891,83.04,2.507,1203.0,368.0,170
D-hajigabul,Hajigabul,district,fixed,2019,3,7.67,7.577,35.83,2.519,427.0,153.0,66
D-imishli,Imishli,district,fixed,2019,3,2.84,1.686,70.8,1.907,251.0,77.0,45
D-ismailli,Ismailli,district,fixed,2019,3,4.465,3.135,42.68,1.784,334.0,119.0,79
D-jalilabad,Jalilabad,district,fixed,2019,3,3.197,2.079,87.23,1.854,291.0,97.0,81
D-julfa,Julfa,district,fixed,2019,3,3.438,3.19,192.69,0.821,13.0,8.0,8
D-kangarli,Kangarli,district,fixed,2019,3,2.405,0.57,230.12,1.665,8.0,4.0,4
D-khachmaz,Khachmaz,district,fixed,2019,3,11.085,15.086,42.66,2.938,1044.0,371.0,160
D-khizi,Khizi,district,fixed,2019,3,8.682,10.467,49.97,2.922,106.0,48.0,35
D-khojaly,Khojaly,district,fixed,2019,3,17.57,17.768,7.67,17.156,6.0,4.0,4
D-kurdamir,Kurdamir,district,fixed,2019,3,3.97,2.542,73.52,2.287,114.0,43.0,33
D-lachin,Lachin,district,fixed,2019,3,24.43,11.541,23.0,24.43,1.0,1.0,1
D-lankaran,Lankaran,district,fixed,2019,3,17.044,20.9,42.74,2.033,641.0,263.0,149
D-lerik,Lerik,district,fixed,2019,3,2.809,1.348,53.01,1.435,77.0,43.0,33
D-masally,Masally,district,fixed,2019,3,2.989,2.295,51.65,1.473,310.0,146.0,106
D-neftchala,Neftchala,district,fixed,2019,3,2.368,1.278,40.16,2.272,285.0,105.0,75
D-oghuz,Oghuz,district,fixed,2019,3,2.117,1.238,69.23,1.401,117.0,67.0,52
D-ordubad,Ordubad,district,fixed,2019,3,1.799,0.627,256.42,0.871,33.0,24.0,20
D-qabala,Qabala,district,fixed,2019,3,6.351,6.056,55.87,2.449,1166.0,642.0,198
D-qakh,Qakh,district,fixed,2019,3,3.339,3.479,112.06,1.943,145.0,69.0,35
D-qazakh,Qazakh,district,fixed,2019,3,1.97,1.118,58.89,1.518,251.0,85.0,64
D-quba,Quba,district,fixed,2019,3,11.966,14.735,54.71,2.579,1518.0,602.0,217
D-qubadli,Qubadli,district,fixed,2019,3,38.904,32.826,18.0,39.438,4.0,3.0,3
D-qusar,Qusar,district,fixed,2019,3,5.333,5.979,49.35,2.493,749.0,316.0,175
D-saatly,Saatly,district,fixed,2019,3,3.931,2.354,63.45,2.567,192.0,60.0,43
D-sabirabad,Sabirabad,district,fixed,2019,3,3.374,4.269,66.89,2.931,240.0,89.0,55
D-sadarak,Sadarak,district,fixed,2019,3,1.684,0.344,104.0,1.684,1.0,1.0,1
D-salyan,Salyan,district,fixed,2019,3,1.975,0.733,74.05,1.535,133.0,68.0,47
D-samukh,Samukh,district,fixed,2019,3,1.76,1.016,71.84,1.424,249.0,76.0,60
D-shabran,Shabran,district,fixed,2019,3,6.893,20.27,34.74,2.59,148.0,71.0,36
D-shahbuz,Shahbuz,district,fixed,2019,3,3.048,3.552,88.0,2.327,3.0,3.0,3
D-shaki,Shaki,district,fixed,2019,3,11.104,22.833,74.99,1.485,370.0,216.0,95
D-shamakhi,Shamakhi,district,fixed,2019,3,7.851,9.092,72.92,2.662,453.0,191.0,105
D-shamkir,Shamkir,district,fixed,2019,3,4.939,5.28,71.38,2.057,748.0,283.0,167
D-sharur,Sharur,district,fixed,2019,3,3.452,2.036,727.4,0.633,15.0,11.0,10
D-siazan,Siazan,district,fixed,2019,3,2.703,1.887,40.39,2.644,54.0,28.0,24
D-tartar,Tartar,district,fixed,2019,3,7.391,6.937,51.3,2.139,155.0,41.0,27
D-tovuz,Tovuz,district,fixed,2019,3,2.4,1.45,66.35,1.39,330.0,125.0,93
D-ujar,Ujar,district,fixed,2019,3,2.498,2.137,61.71,1.641,68.0,33.0,27
D-yardymli,Yardymli,district,fixed,2019,3,2.342,1.766,54.13,1.469,52.0,16.0,13
D-yevlakh,Yevlakh,district,fixed,2019,3,3.066,5.009,166.69,2.053,131.0,57.0,46
D-zaqatala,Zaqatala,district,fixed,2019,3,1.744,0.983,66.09,1.462,184.0,65.0,54
D-zardab,Zardab,district,fixed,2019,3,1.743,0.79,55.49,1.518,45.0,24.0,20
C-baku,Baku,city,fixed,2019,4,18.894,20.425,22.22,4.191,199797.0,58112.0,2810
C-ganja,Ganja,city,fixed,2019,4,9.104,10.914,67.71,5.58,4720.0,1570.0,146
C-lankaran,Lankaran,city,fixed,2019,4,4.429,3.396,47.71,2.663,483.0,155.0,41
C-mingachevir,Mingachevir,city,fixed,2019,4,8.869,12.405,51.05,6.466,1238.0,452.0,63
C-nakhchivan,Nakhchivan,city,fixed,2019,4,5.875,6.162,75.82,1.743,330.0,180.0,55
C-shaki,Shaki,city,fixed,2019,4,4.499,6.716,77.95,2.68,474.0,168.0,39
C-shirvan,Shirvan,city,fixed,2019,4,9.392,8.925,20.5,3.644,1020.0,258.0,26
C-sumqayit,Sumqayit,city,fixed,2019,4,14.239,16.674,25.87,4.326,12688.0,3602.0,230
C-yevlakh,Yevlakh,city,fixed,2019,4,3.168,2.495,42.65,2.808,159.0,65.0,32
D-absheron,Absheron,district,fixed,2019,4,12.541,12.154,23.3,4.298,14548.0,4091.0,413
D-agdam,Agdam,district,fixed,2019,4,2.8,1.194,54.43,2.185,127.0,45.0,36
D-agdash,Agdash,district,fixed,2019,4,3.102,0.681,44.08,2.834,133.0,48.0,38
