iso3,month,capable_pct,preferred_pct,samples
KAZ,2019-11,0.01,0.01,1116133
KAZ,2019-12,0.01,0.01,1020343
KAZ,2020-01,0.01,0.01,1023079
KAZ,2020-02,0.02,0.02,984243
KAZ,2020-03,0.02,0.02,968535
KAZ,2020-04,0.01,0.01,1062895
KAZ,2020-05,0.01,0.01,891943
KAZ,2020-06,0.01,0.01,913585
KAZ,2020-07,0.01,0.01,1122079
KAZ,2020-08,0.01,0.01,1206719
KAZ,2020-09,0.01,0.01,1326363
KAZ,2020-10,0.01,0.01,1669753
KAZ,2020-11,0.01,0.01,1621937
KAZ,2020-12,0.0,0.0,1581611
KAZ,2021-01,0.01,0.01,1385659
KAZ,2021-02,0.01,0.01,1791362
KAZ,2021-03,0.01,0.01,1931509
KAZ,2021-04,0.01,0.01,1390496
KAZ,2021-05,0.02,0.02,636445
KAZ,2021-06,0.04,0.04,302418
KAZ,2021-07,0.48,0.48,335272
KAZ,2021-08,1.98,1.96,325182
KAZ,2021-09,4.74,4.71,330288
KAZ,2021-10,4.94,4.91,329323
KAZ,2021-11,4.6,4.59,483444
KAZ,2021-12,4.83,4.81,422116
KAZ,2022-01,4.28,4.24,698281
KAZ,2022-02,4.03,4.0,642702
KAZ,2022-03,4.17,4.13,658939
KAZ,2022-04,7.32,7.24,501287
KAZ,2022-05,7.54,7.45,287361
KAZ,2022-06,7.53,7.44,258861
KAZ,2022-07,8.0,7.9,627563
KAZ,2022-08,8.38,8.31,1589253
KAZ,2022-09,9.04,8.9,1686476
KAZ,2022-10,8.45,8.32,1112105
KAZ,2022-11,8.41,8.34,1359733
KAZ,2022-12,7.82,7.77,1659198
KAZ,2023-01,9.67,9.57,1370302
KAZ,2023-02,9.03,8.93,1984785
KAZ,2023-03,10.42,10.32,2531325
KAZ,2023-04,11.19,11.03,2697129
KAZ,2023-05,11.33,11.1,2292171
KAZ,2023-06,11.29,11.09,2604405
KAZ,2023-07,11.63,11.42,2449864
KAZ,2023-08,12.71,12.51,2821492
KAZ,2023-09,13.03,12.66,1927205
KAZ,2023-10,13.46,13.11,2410368
KAZ,2023-11,14.4,14.21,2355568
